Date,Weekday,Time,Volume,Speed,Density,Location,Ind
8/11/2021,Monday,06:00:00,192,16,12,CB-13-E,0
8/11/2021,Monday,06:15:00,188,16,11.75,CB-13-E,1
8/11/2021,Monday,06:30:00,204,16,12.75,CB-13-E,2
8/11/2021,Monday,06:45:00,324,16,20.25,CB-13-E,3
8/11/2021,Monday,07:00:00,316,16,19.75,CB-13-E,4
8/11/2021,Monday,07:15:00,268,16,16.75,CB-13-E,5
8/11/2021,Monday,07:30:00,272,16,17,CB-13-E,6
8/11/2021,Monday,07:45:00,372,15.2,24.47368421,CB-13-E,7
8/11/2021,Monday,08:00:00,316,14.66666667,21.54545454,CB-13-E,8
8/11/2021,Monday,08:15:00,304,12.73333333,23.87434556,CB-13-E,9
8/11/2021,Monday,08:30:00,388,14.6,26.57534247,CB-13-E,10
8/11/2021,Monday,08:45:00,284,15.86666667,17.89915966,CB-13-E,11
8/11/2021,Monday,09:00:00,376,10.33333333,36.38709679,CB-13-E,12
8/11/2021,Monday,09:15:00,332,5.533333333,60,CB-13-E,13
8/11/2021,Monday,09:30:00,364,10.75238101,33.85296705,CB-13-E,14
8/11/2021,Monday,09:45:00,404,10.6,38.11320755,CB-13-E,15
8/11/2021,Monday,10:00:00,360,9.133333333,39.4160584,CB-13-E,16
8/11/2021,Monday,10:15:00,328,7.666666667,42.78260869,CB-13-E,17
8/11/2021,Monday,10:30:00,332,7.4,44.86486486,CB-13-E,18
8/11/2021,Monday,10:45:00,364,6.371717072,57.12745809,CB-13-E,19
8/11/2021,Monday,11:00:00,316,6.561904844,48.15674831,CB-13-E,20
8/11/2021,Monday,11:15:00,312,3.8,82.10526316,CB-13-E,21
8/11/2021,Monday,11:30:00,336,4.533333333,74.11764706,CB-13-E,22
8/11/2021,Monday,11:45:00,332,8.6,38.60465116,CB-13-E,23
8/11/2021,Monday,12:00:00,264,12,22,CB-13-E,24
8/11/2021,Monday,12:15:00,312,13.4,23.28358209,CB-13-E,25
8/11/2021,Monday,12:30:00,336,7.880808131,42.63522147,CB-13-E,26
8/11/2021,Monday,12:45:00,292,7.333333333,39.81818182,CB-13-E,27
8/11/2021,Monday,13:00:00,324,6.724098142,48.18490051,CB-13-E,28
8/11/2021,Monday,13:15:00,292,9.082828267,32.14857657,CB-13-E,29
8/11/2021,Monday,13:30:00,304,14.08455989,21.58391901,CB-13-E,30
8/11/2021,Monday,13:45:00,300,16.84675312,17.8075857,CB-13-E,31
8/11/2021,Monday,14:00:00,292,4.533333333,64.41176471,CB-13-E,32
8/11/2021,Monday,14:15:00,328,6.733333333,48.71287129,CB-13-E,33
8/11/2021,Monday,14:30:00,220,9.704761696,22.6692841,CB-13-E,34
8/11/2021,Monday,14:45:00,324,8.903318787,36.3909243,CB-13-E,35
8/11/2021,Monday,15:00:00,332,11.53333333,28.78612718,CB-13-E,36
8/11/2021,Monday,15:15:00,308,10.73333333,28.69565218,CB-13-E,37
8/11/2021,Monday,15:30:00,344,12.53333333,27.44680852,CB-13-E,38
8/11/2021,Monday,15:45:00,280,13.46666667,20.7920792,CB-13-E,39
8/11/2021,Monday,16:00:00,268,16,16.75,CB-13-E,40
8/11/2021,Monday,16:15:00,328,15.26666667,21.48471615,CB-13-E,41
8/11/2021,Monday,16:30:00,252,10.73333333,23.47826088,CB-13-E,42
8/11/2021,Monday,16:45:00,276,6.181240972,44.65122801,CB-13-E,43
8/11/2021,Monday,17:00:00,260,10.48369408,24.80041844,CB-13-E,44
8/11/2021,Monday,17:15:00,196,3.992496363,49.09209231,CB-13-E,45
8/11/2021,Monday,17:30:00,220,12.8470417,17.12456495,CB-13-E,46
8/11/2021,Monday,17:45:00,168,7.703318787,21.80878199,CB-13-E,47
8/11/2021,Monday,18:00:00,164,9.366233762,17.50970605,CB-13-E,48
8/11/2021,Monday,18:15:00,276,11.85743116,23.27654247,CB-13-E,49
8/11/2021,Monday,18:30:00,276,10.11832612,27.27723901,CB-13-E,50
8/11/2021,Monday,18:45:00,196,12.93333333,15.15463918,CB-13-E,51
8/11/2021,Monday,19:00:00,236,14.93333333,15.80357143,CB-13-E,52
